,1-1A,10-2B,11-2C,12-2D,13-2E,14-2F,15-2G,16-2H,17-3A,18-3B,19-3C,2-1B,20-3D,21-3E,22-3F,23-3G,24-3H,25-4A,26-4B,27-4C,28-4D,29-4E,3-1C,30-4F,31-4G,32-4H,33-5A,34-5B,35-5C,36-5D,37-6E,38-5F,39-5G,4-1D,40-5H,5-1E,6-1F,7-1G,8-1H,9-2A
Streptosporangiaceae,0.106564,0.09973,0.123852,0.145731,0.162891,0.185792,0.220476,0.175289,0.270674,0.296717,0.148869,0.083038,0.124803,0.162891,0.161788,0.206494,0.190563,0.196613,0.144694,0.163998,0.150981,0.162891,0.11008,0.205246,0.150981,0.157416,0.205246,0.241601,0.172999,0.131577,0.204001,0.223066,0.372049,0.088402,0.184609,0.183431,0.167343,0.211526,0.124803,0.182256
Streptosporangium,0.556061,0.537751,0.597503,0.641766,0.671426,0.705563,0.748122,0.690599,0.79581,0.815859,0.647489,0.487441,0.599602,0.671426,0.669635,0.732106,0.712009,0.719891,0.639842,0.67321,0.651263,0.671426,0.565028,0.730605,0.651263,0.662385,0.730605,0.769874,0.687186,0.614066,0.729097,0.75094,0.861533,0.504553,0.703932,0.702293,0.678512,0.738033,0.599602,0.700647
Subgroup_10,0.42016,0.40227,0.462015,0.508932,0.541737,0.580938,0.632118,0.563558,0.692749,0.719348,0.515174,0.354904,0.464187,0.541737,0.539723,0.612546,0.588521,0.597874,0.506842,0.543746,0.519312,0.541737,0.429054,0.610732,0.519312,0.531616,0.610732,0.659326,0.559637,0.479294,0.608912,0.635601,0.782582,0.370728,0.579029,0.577114,0.549744,0.619744,0.464187,0.575193
Subgroup_11,0.028151,0.026198,0.03319,0.039781,0.045124,0.052506,0.064272,0.049084,0.082678,0.092938,0.040746,0.021519,0.033472,0.045124,0.044776,0.059441,0.054082,0.056099,0.039463,0.045474,0.041399,0.045124,0.029164,0.059016,0.041399,0.043402,0.059016,0.07181,0.048346,0.03549,0.058592,0.065181,0.125787,0.023009,0.052118,0.051731,0.046536,0.061166,0.033472,0.051347
Subgroup_17,0.996995,0.996766,0.997464,0.997897,0.998156,0.998427,0.998731,0.998312,0.999032,0.999149,0.997949,0.996046,0.997486,0.998156,0.998141,0.998621,0.998475,0.998533,0.99788,0.998171,0.997983,0.998156,0.997102,0.99861,0.997983,0.99808,0.99861,0.998873,0.998285,0.997633,0.998599,0.99875,0.999394,0.996307,0.998415,0.998402,0.998215,0.998662,0.997486,0.99839
Subgroup_18,0.042919,0.039984,0.050465,0.060272,0.068172,0.079014,0.096117,0.073998,0.122449,0.136907,0.061703,0.032926,0.050886,0.068172,0.067659,0.08912,0.081316,0.084259,0.059801,0.068688,0.06267,0.068172,0.04444,0.088502,0.06267,0.065632,0.088502,0.106962,0.072915,0.053895,0.087887,0.097429,0.182176,0.035177,0.078445,0.07788,0.070253,0.091622,0.050886,0.077317
Subgroup_2,0.472397,0.454024,0.514835,0.561517,0.593615,0.631398,0.679812,0.614723,0.735867,0.760026,0.567659,0.40469,0.517017,0.593615,0.591657,0.661417,0.638635,0.647532,0.559458,0.595566,0.571722,0.593615,0.481478,0.659705,0.571722,0.583759,0.659705,0.705137,0.610944,0.532135,0.657986,0.68307,0.816433,0.421284,0.629572,0.627739,0.601382,0.6682,0.517017,0.625899
Subgroup_22,0.370616,0.353549,0.411034,0.457173,0.489971,0.529756,0.582697,0.512037,0.646924,0.675632,0.463379,0.308954,0.41315,0.489971,0.487944,0.562316,0.537528,0.547148,0.455099,0.491994,0.467503,0.489971,0.379147,0.560435,0.467503,0.479805,0.560435,0.611312,0.508057,0.427923,0.55855,0.586342,0.745227,0.323758,0.527803,0.525846,0.498044,0.569792,0.41315,0.523885
Subgroup_25,0.058137,0.05422,0.068168,0.081121,0.091487,0.105617,0.12768,0.099094,0.161117,0.179209,0.083003,0.044766,0.068725,0.091487,0.090815,0.118687,0.108603,0.112413,0.0805,0.092163,0.084273,0.091487,0.060163,0.117891,0.084273,0.08816,0.117891,0.141528,0.097682,0.072708,0.117098,0.129361,0.234663,0.047787,0.104878,0.104144,0.094208,0.121908,0.068725,0.103412
Subgroup_5,0.141252,0.132524,0.16314,0.190451,0.211572,0.239361,0.280598,0.226673,0.33854,0.36782,0.194333,0.11102,0.164337,0.211572,0.210223,0.264096,0.245093,0.252335,0.189166,0.212926,0.196941,0.211572,0.145726,0.262615,0.196941,0.204862,0.262615,0.305229,0.223893,0.172833,0.261137,0.283638,0.449662,0.117959,0.237937,0.236516,0.21701,0.270054,0.164337,0.235099
Subgroup_7,0.961302,0.958457,0.967149,0.972625,0.975919,0.979392,0.983307,0.977909,0.987228,0.988748,0.973282,0.949649,0.967426,0.975919,0.975728,0.981883,0.980013,0.980758,0.972401,0.976109,0.97371,0.975919,0.962634,0.981747,0.97371,0.974944,0.981747,0.985152,0.977562,0.969283,0.98161,0.983552,0.991961,0.952823,0.979233,0.979073,0.976666,0.982417,0.967426,0.978911
Sulfuricaulis_limicola,0.123661,0.115873,0.143278,0.167931,0.187132,0.212577,0.25072,0.200933,0.305109,0.332953,0.171451,0.09677,0.144354,0.187132,0.185902,0.2354,0.217851,0.224527,0.166767,0.188367,0.173819,0.187132,0.127661,0.234029,0.173819,0.181019,0.234029,0.273726,0.198388,0.152005,0.232661,0.25355,0.412095,0.102921,0.211268,0.209962,0.192095,0.240923,0.144354,0.208661
Sulfuricurvum,0.042919,0.039984,0.050465,0.060272,0.068172,0.079014,0.096117,0.073998,0.122449,0.136907,0.061703,0.032926,0.050886,0.068172,0.067659,0.08912,0.081316,0.084259,0.059801,0.068688,0.06267,0.068172,0.04444,0.088502,0.06267,0.065632,0.088502,0.106962,0.072915,0.053895,0.087887,0.097429,0.182176,0.035177,0.078445,0.07788,0.070253,0.091622,0.050886,0.077317
Sulfurifustis,0.028151,0.026198,0.03319,0.039781,0.045124,0.052506,0.064272,0.049084,0.082678,0.092938,0.040746,0.021519,0.033472,0.045124,0.044776,0.059441,0.054082,0.056099,0.039463,0.045474,0.041399,0.045124,0.029164,0.059016,0.041399,0.043402,0.059016,0.07181,0.048346,0.03549,0.058592,0.065181,0.125787,0.023009,0.052118,0.051731,0.046536,0.061166,0.033472,0.051347
Sumerlaea,0.177958,0.167403,0.204181,0.236422,0.260997,0.292866,0.33921,0.27838,0.402484,0.433669,0.240961,0.141161,0.205604,0.260997,0.259436,0.320799,0.299375,0.307568,0.234916,0.262562,0.244006,0.260997,0.183346,0.319137,0.244006,0.253223,0.319137,0.366366,0.275192,0.215683,0.317477,0.342583,0.518154,0.149666,0.291246,0.289628,0.267275,0.327466,0.205604,0.288012
Sva0485,0.058137,0.05422,0.068168,0.081121,0.091487,0.105617,0.12768,0.099094,0.161117,0.179209,0.083003,0.044766,0.068725,0.091487,0.090815,0.118687,0.108603,0.112413,0.0805,0.092163,0.084273,0.091487,0.060163,0.117891,0.084273,0.08816,0.117891,0.141528,0.097682,0.072708,0.117098,0.129361,0.234663,0.047787,0.104878,0.104144,0.094208,0.121908,0.068725,0.103412
Sva0996_marine_group,0.028151,0.026198,0.03319,0.039781,0.045124,0.052506,0.064272,0.049084,0.082678,0.092938,0.040746,0.021519,0.033472,0.045124,0.044776,0.059441,0.054082,0.056099,0.039463,0.045474,0.041399,0.045124,0.029164,0.059016,0.041399,0.043402,0.059016,0.07181,0.048346,0.03549,0.058592,0.065181,0.125787,0.023009,0.052118,0.051731,0.046536,0.061166,0.033472,0.051347
Syntrophobacter,0.08995,0.084082,0.10486,0.123858,0.13886,0.159025,0.189877,0.149757,0.23521,0.259054,0.126595,0.069806,0.105682,0.13886,0.137893,0.177395,0.163246,0.16861,0.122953,0.139831,0.128438,0.13886,0.092975,0.176283,0.128438,0.134064,0.176283,0.208856,0.147741,0.111551,0.175175,0.192196,0.329301,0.074384,0.15798,0.156938,0.142768,0.18188,0.105682,0.155901
Syntrophorhabdus,0.106564,0.09973,0.123852,0.145731,0.162891,0.185792,0.220476,0.175289,0.270674,0.296717,0.148869,0.083038,0.124803,0.162891,0.161788,0.206494,0.190563,0.196613,0.144694,0.163998,0.150981,0.162891,0.11008,0.205246,0.150981,0.157416,0.205246,0.241601,0.172999,0.131577,0.204001,0.223066,0.372049,0.088402,0.184609,0.183431,0.167343,0.211526,0.124803,0.182256
TK10,0.996995,0.996766,0.997464,0.997897,0.998156,0.998427,0.998731,0.998312,0.999032,0.999149,0.997949,0.996046,0.997486,0.998156,0.998141,0.998621,0.998475,0.998533,0.99788,0.998171,0.997983,0.998156,0.997102,0.99861,0.997983,0.99808,0.99861,0.998873,0.998285,0.997633,0.998599,0.99875,0.999394,0.996307,0.998415,0.998402,0.998215,0.998662,0.997486,0.99839
TM7,0.028151,0.026198,0.03319,0.039781,0.045124,0.052506,0.064272,0.049084,0.082678,0.092938,0.040746,0.021519,0.033472,0.045124,0.044776,0.059441,0.054082,0.056099,0.039463,0.045474,0.041399,0.045124,0.029164,0.059016,0.041399,0.043402,0.059016,0.07181,0.048346,0.03549,0.058592,0.065181,0.125787,0.023009,0.052118,0.051731,0.046536,0.061166,0.033472,0.051347
TRA3-20,0.301095,0.285776,0.338002,0.381251,0.412743,0.451813,0.505335,0.434293,0.572738,0.603784,0.387161,0.24647,0.33996,0.412743,0.410778,0.484518,0.459558,0.469199,0.37928,0.414707,0.391101,0.412743,0.30881,0.482611,0.391101,0.402913,0.482611,0.535022,0.430384,0.353693,0.480701,0.509086,0.681528,0.259404,0.449872,0.44793,0.420593,0.492122,0.33996,0.445986
Tahibacter,0.028151,0.026198,0.03319,0.039781,0.045124,0.052506,0.064272,0.049084,0.082678,0.092938,0.040746,0.021519,0.033472,0.045124,0.044776,0.059441,0.054082,0.056099,0.039463,0.045474,0.041399,0.045124,0.029164,0.059016,0.041399,0.043402,0.059016,0.07181,0.048346,0.03549,0.058592,0.065181,0.125787,0.023009,0.052118,0.051731,0.046536,0.061166,0.033472,0.051347
Tepidisphaera_mucosa,0.042919,0.039984,0.050465,0.060272,0.068172,0.079014,0.096117,0.073998,0.122449,0.136907,0.061703,0.032926,0.050886,0.068172,0.067659,0.08912,0.081316,0.084259,0.059801,0.068688,0.06267,0.068172,0.04444,0.088502,0.06267,0.065632,0.088502,0.106962,0.072915,0.053895,0.087887,0.097429,0.182176,0.035177,0.078445,0.07788,0.070253,0.091622,0.050886,0.077317
Tepidisphaeraceae,0.159348,0.149696,0.183441,0.213284,0.236198,0.26613,0.310098,0.252493,0.37099,0.401374,0.217506,0.12581,0.184753,0.236198,0.234738,0.292567,0.272273,0.280021,0.211884,0.237662,0.22034,0.236198,0.164285,0.290989,0.22034,0.228934,0.290989,0.336109,0.249499,0.194059,0.289414,0.313318,0.484955,0.133534,0.264602,0.263077,0.242075,0.298906,0.184753,0.261555
Tepidisphaerales,0.885265,0.877542,0.901423,0.916912,0.926403,0.936553,0.948176,0.9322,0.960012,0.964655,0.918795,0.854187,0.902197,0.926403,0.925849,0.943927,0.938383,0.940587,0.916272,0.926954,0.920023,0.926403,0.888911,0.943522,0.920023,0.92358,0.943522,0.95372,0.931187,0.907417,0.943113,0.948909,0.974572,0.862508,0.936086,0.935614,0.928575,0.945517,0.902197,0.935139
Terracidiphilus_gabretensis,0.042919,0.039984,0.050465,0.060272,0.068172,0.079014,0.096117,0.073998,0.122449,0.136907,0.061703,0.032926,0.050886,0.068172,0.067659,0.08912,0.081316,0.084259,0.059801,0.068688,0.06267,0.068172,0.04444,0.088502,0.06267,0.065632,0.088502,0.106962,0.072915,0.053895,0.087887,0.097429,0.182176,0.035177,0.078445,0.07788,0.070253,0.091622,0.050886,0.077317
Terrimonas,0.236994,0.223891,0.269069,0.307595,0.33631,0.372737,0.42414,0.35629,0.491472,0.523511,0.312941,0.190823,0.270791,0.33631,0.334502,0.403936,0.380067,0.389241,0.305817,0.33812,0.316516,0.33631,0.243639,0.402098,0.316516,0.327286,0.402098,0.453429,0.352646,0.282927,0.400261,0.427809,0.606747,0.201618,0.370906,0.369076,0.343557,0.411285,0.270791,0.367247
Terrimonas_lutea,0.323648,0.307687,0.361889,0.406317,0.438413,0.477935,0.531551,0.460253,0.598222,0.628617,0.412358,0.266492,0.363909,0.438413,0.436417,0.510769,0.485732,0.495419,0.404302,0.440408,0.41638,0.438413,0.331667,0.508861,0.41638,0.428418,0.508861,0.561032,0.456299,0.378055,0.506949,0.535287,0.703878,0.280086,0.47598,0.474022,0.446381,0.518372,0.363909,0.472062
Terrimonas_sp.,0.058137,0.05422,0.068168,0.081121,0.091487,0.105617,0.12768,0.099094,0.161117,0.179209,0.083003,0.044766,0.068725,0.091487,0.090815,0.118687,0.108603,0.112413,0.0805,0.092163,0.084273,0.091487,0.060163,0.117891,0.084273,0.08816,0.117891,0.141528,0.097682,0.072708,0.117098,0.129361,0.234663,0.047787,0.104878,0.104144,0.094208,0.121908,0.068725,0.103412
Terrimonas_terrae,0.028151,0.026198,0.03319,0.039781,0.045124,0.052506,0.064272,0.049084,0.082678,0.092938,0.040746,0.021519,0.033472,0.045124,0.044776,0.059441,0.054082,0.056099,0.039463,0.045474,0.041399,0.045124,0.029164,0.059016,0.041399,0.043402,0.059016,0.07181,0.048346,0.03549,0.058592,0.065181,0.125787,0.023009,0.052118,0.051731,0.046536,0.061166,0.033472,0.051347
Terrisporobacter,0.141252,0.132524,0.16314,0.190451,0.211572,0.239361,0.280598,0.226673,0.33854,0.36782,0.194333,0.11102,0.164337,0.211572,0.210223,0.264096,0.245093,0.252335,0.189166,0.212926,0.196941,0.211572,0.145726,0.262615,0.196941,0.204862,0.262615,0.305229,0.223893,0.172833,0.261137,0.283638,0.449662,0.117959,0.237937,0.236516,0.21701,0.270054,0.164337,0.235099
Thaumarchaeota_archaeon,0.058137,0.05422,0.068168,0.081121,0.091487,0.105617,0.12768,0.099094,0.161117,0.179209,0.083003,0.044766,0.068725,0.091487,0.090815,0.118687,0.108603,0.112413,0.0805,0.092163,0.084273,0.091487,0.060163,0.117891,0.084273,0.08816,0.117891,0.141528,0.097682,0.072708,0.117098,0.129361,0.234663,0.047787,0.104878,0.104144,0.094208,0.121908,0.068725,0.103412
Thermaerobacter,0.042919,0.039984,0.050465,0.060272,0.068172,0.079014,0.096117,0.073998,0.122449,0.136907,0.061703,0.032926,0.050886,0.068172,0.067659,0.08912,0.081316,0.084259,0.059801,0.068688,0.06267,0.068172,0.04444,0.088502,0.06267,0.065632,0.088502,0.106962,0.072915,0.053895,0.087887,0.097429,0.182176,0.035177,0.078445,0.07788,0.070253,0.091622,0.050886,0.077317
Thermoactinomyces,0.106564,0.09973,0.123852,0.145731,0.162891,0.185792,0.220476,0.175289,0.270674,0.296717,0.148869,0.083038,0.124803,0.162891,0.161788,0.206494,0.190563,0.196613,0.144694,0.163998,0.150981,0.162891,0.11008,0.205246,0.150981,0.157416,0.205246,0.241601,0.172999,0.131577,0.204001,0.223066,0.372049,0.088402,0.184609,0.183431,0.167343,0.211526,0.124803,0.182256
Thermoanaerobaculum,0.028151,0.026198,0.03319,0.039781,0.045124,0.052506,0.064272,0.049084,0.082678,0.092938,0.040746,0.021519,0.033472,0.045124,0.044776,0.059441,0.054082,0.056099,0.039463,0.045474,0.041399,0.045124,0.029164,0.059016,0.041399,0.043402,0.059016,0.07181,0.048346,0.03549,0.058592,0.065181,0.125787,0.023009,0.052118,0.051731,0.046536,0.061166,0.033472,0.051347
Thermobaculum_sp.,0.395059,0.377541,0.436294,0.482944,0.515834,0.555432,0.607624,0.537836,0.670185,0.697886,0.489185,0.331472,0.438444,0.515834,0.513808,0.587598,0.56313,0.572641,0.480857,0.517856,0.493327,0.515834,0.403791,0.585746,0.493327,0.505663,0.585746,0.635598,0.533875,0.453422,0.583889,0.611196,0.764371,0.346813,0.553496,0.551555,0.523896,0.594953,0.438444,0.549609
Thermodesulfovibrionia,0.028151,0.026198,0.03319,0.039781,0.045124,0.052506,0.064272,0.049084,0.082678,0.092938,0.040746,0.021519,0.033472,0.045124,0.044776,0.059441,0.054082,0.056099,0.039463,0.045474,0.041399,0.045124,0.029164,0.059016,0.041399,0.043402,0.059016,0.07181,0.048346,0.03549,0.058592,0.065181,0.125787,0.023009,0.052118,0.051731,0.046536,0.061166,0.033472,0.051347
Thermoflavimicrobium,0.058137,0.05422,0.068168,0.081121,0.091487,0.105617,0.12768,0.099094,0.161117,0.179209,0.083003,0.044766,0.068725,0.091487,0.090815,0.118687,0.108603,0.112413,0.0805,0.092163,0.084273,0.091487,0.060163,0.117891,0.084273,0.08816,0.117891,0.141528,0.097682,0.072708,0.117098,0.129361,0.234663,0.047787,0.104878,0.104144,0.094208,0.121908,0.068725,0.103412
Thermoleophilia,0.615558,0.597927,0.654893,0.696055,0.72316,0.753892,0.791529,0.740481,0.832835,0.849934,0.701315,0.54867,0.656865,0.72316,0.721533,0.777452,0.75964,0.766646,0.694284,0.724778,0.704775,0.72316,0.624136,0.776128,0.704775,0.714937,0.776128,0.810482,0.737409,0.670397,0.774796,0.793995,0.888313,0.56556,0.752435,0.750969,0.729579,0.782673,0.656865,0.749496
Thermomicrobiales,0.073811,0.068915,0.086299,0.102319,0.115055,0.132294,0.15894,0.124353,0.198698,0.219905,0.104636,0.057054,0.08699,0.115055,0.114232,0.148119,0.13592,0.140537,0.101553,0.115882,0.106199,0.115055,0.076339,0.147158,0.106199,0.110975,0.147158,0.175496,0.122629,0.091927,0.146201,0.160956,0.283599,0.060851,0.131397,0.130503,0.118384,0.152001,0.08699,0.129613
Thermomonosporaceae,0.123661,0.115873,0.143278,0.167931,0.187132,0.212577,0.25072,0.200933,0.305109,0.332953,0.171451,0.09677,0.144354,0.187132,0.185902,0.2354,0.217851,0.224527,0.166767,0.188367,0.173819,0.187132,0.127661,0.234029,0.173819,0.181019,0.234029,0.273726,0.198388,0.152005,0.232661,0.25355,0.412095,0.102921,0.211268,0.209962,0.192095,0.240923,0.144354,0.208661
Thiobacter_sp.,0.106564,0.09973,0.123852,0.145731,0.162891,0.185792,0.220476,0.175289,0.270674,0.296717,0.148869,0.083038,0.124803,0.162891,0.161788,0.206494,0.190563,0.196613,0.144694,0.163998,0.150981,0.162891,0.11008,0.205246,0.150981,0.157416,0.205246,0.241601,0.172999,0.131577,0.204001,0.223066,0.372049,0.088402,0.184609,0.183431,0.167343,0.211526,0.124803,0.182256
Tissierella,0.042919,0.039984,0.050465,0.060272,0.068172,0.079014,0.096117,0.073998,0.122449,0.136907,0.061703,0.032926,0.050886,0.068172,0.067659,0.08912,0.081316,0.084259,0.059801,0.068688,0.06267,0.068172,0.04444,0.088502,0.06267,0.065632,0.088502,0.106962,0.072915,0.053895,0.087887,0.097429,0.182176,0.035177,0.078445,0.07788,0.070253,0.091622,0.050886,0.077317
Treponema_zuelzerae,0.028151,0.026198,0.03319,0.039781,0.045124,0.052506,0.064272,0.049084,0.082678,0.092938,0.040746,0.021519,0.033472,0.045124,0.044776,0.059441,0.054082,0.056099,0.039463,0.045474,0.041399,0.045124,0.029164,0.059016,0.041399,0.043402,0.059016,0.07181,0.048346,0.03549,0.058592,0.065181,0.125787,0.023009,0.052118,0.051731,0.046536,0.061166,0.033472,0.051347
Trichococcus,0.042919,0.039984,0.050465,0.060272,0.068172,0.079014,0.096117,0.073998,0.122449,0.136907,0.061703,0.032926,0.050886,0.068172,0.067659,0.08912,0.081316,0.084259,0.059801,0.068688,0.06267,0.068172,0.04444,0.088502,0.06267,0.065632,0.088502,0.106962,0.072915,0.053895,0.087887,0.097429,0.182176,0.035177,0.078445,0.07788,0.070253,0.091622,0.050886,0.077317
Tumebacillus,0.123661,0.115873,0.143278,0.167931,0.187132,0.212577,0.25072,0.200933,0.305109,0.332953,0.171451,0.09677,0.144354,0.187132,0.185902,0.2354,0.217851,0.224527,0.166767,0.188367,0.173819,0.187132,0.127661,0.234029,0.173819,0.181019,0.234029,0.273726,0.198388,0.152005,0.232661,0.25355,0.412095,0.102921,0.211268,0.209962,0.192095,0.240923,0.144354,0.208661
Tundrisphaera,0.028151,0.026198,0.03319,0.039781,0.045124,0.052506,0.064272,0.049084,0.082678,0.092938,0.040746,0.021519,0.033472,0.045124,0.044776,0.059441,0.054082,0.056099,0.039463,0.045474,0.041399,0.045124,0.029164,0.059016,0.041399,0.043402,0.059016,0.07181,0.048346,0.03549,0.058592,0.065181,0.125787,0.023009,0.052118,0.051731,0.046536,0.061166,0.033472,0.051347
Turicibacter,0.848191,0.838429,0.868797,0.888779,0.901138,0.91445,0.929819,0.908729,0.945608,0.951838,0.891225,0.809235,0.86979,0.901138,0.900413,0.924186,0.916862,0.919769,0.88795,0.901857,0.892821,0.901138,0.85282,0.923649,0.892821,0.897453,0.923649,0.937197,0.9074,0.876504,0.923108,0.930792,0.965222,0.81958,0.913835,0.913215,0.903979,0.926291,0.86979,0.91259
Tuwongella,0.236994,0.223891,0.269069,0.307595,0.33631,0.372737,0.42414,0.35629,0.491472,0.523511,0.312941,0.190823,0.270791,0.33631,0.334502,0.403936,0.380067,0.389241,0.305817,0.33812,0.316516,0.33631,0.243639,0.402098,0.316516,0.327286,0.402098,0.453429,0.352646,0.282927,0.400261,0.427809,0.606747,0.201618,0.370906,0.369076,0.343557,0.411285,0.270791,0.367247
UCG-010,0.028151,0.026198,0.03319,0.039781,0.045124,0.052506,0.064272,0.049084,0.082678,0.092938,0.040746,0.021519,0.033472,0.045124,0.044776,0.059441,0.054082,0.056099,0.039463,0.045474,0.041399,0.045124,0.029164,0.059016,0.041399,0.043402,0.059016,0.07181,0.048346,0.03549,0.058592,0.065181,0.125787,0.023009,0.052118,0.051731,0.046536,0.061166,0.033472,0.051347
UTCFX1,0.073811,0.068915,0.086299,0.102319,0.115055,0.132294,0.15894,0.124353,0.198698,0.219905,0.104636,0.057054,0.08699,0.115055,0.114232,0.148119,0.13592,0.140537,0.101553,0.115882,0.106199,0.115055,0.076339,0.147158,0.106199,0.110975,0.147158,0.175496,0.122629,0.091927,0.146201,0.160956,0.283599,0.060851,0.131397,0.130503,0.118384,0.152001,0.08699,0.129613
Unassigned,0.197094,0.185661,0.225364,0.259858,0.285957,0.319556,0.367926,0.304317,0.433046,0.464757,0.264691,0.157097,0.226893,0.285957,0.284304,0.348778,0.326384,0.334963,0.258253,0.287613,0.26793,0.285957,0.202919,0.347046,0.26793,0.277719,0.347046,0.396003,0.300956,0.237704,0.345315,0.371423,0.549422,0.166376,0.317854,0.316154,0.292597,0.355723,0.226893,0.314456
Undibacterium,0.028151,0.026198,0.03319,0.039781,0.045124,0.052506,0.064272,0.049084,0.082678,0.092938,0.040746,0.021519,0.033472,0.045124,0.044776,0.059441,0.054082,0.056099,0.039463,0.045474,0.041399,0.045124,0.029164,0.059016,0.041399,0.043402,0.059016,0.07181,0.048346,0.03549,0.058592,0.065181,0.125787,0.023009,0.052118,0.051731,0.046536,0.061166,0.033472,0.051347
V2072-189E03,0.028151,0.026198,0.03319,0.039781,0.045124,0.052506,0.064272,0.049084,0.082678,0.092938,0.040746,0.021519,0.033472,0.045124,0.044776,0.059441,0.054082,0.056099,0.039463,0.045474,0.041399,0.045124,0.029164,0.059016,0.041399,0.043402,0.059016,0.07181,0.048346,0.03549,0.058592,0.065181,0.125787,0.023009,0.052118,0.051731,0.046536,0.061166,0.033472,0.051347
Vaucheria_litorea,0.028151,0.026198,0.03319,0.039781,0.045124,0.052506,0.064272,0.049084,0.082678,0.092938,0.040746,0.021519,0.033472,0.045124,0.044776,0.059441,0.054082,0.056099,0.039463,0.045474,0.041399,0.045124,0.029164,0.059016,0.041399,0.043402,0.059016,0.07181,0.048346,0.03549,0.058592,0.065181,0.125787,0.023009,0.052118,0.051731,0.046536,0.061166,0.033472,0.051347
Vermiphilaceae,0.028151,0.026198,0.03319,0.039781,0.045124,0.052506,0.064272,0.049084,0.082678,0.092938,0.040746,0.021519,0.033472,0.045124,0.044776,0.059441,0.054082,0.056099,0.039463,0.045474,0.041399,0.045124,0.029164,0.059016,0.041399,0.043402,0.059016,0.07181,0.048346,0.03549,0.058592,0.065181,0.125787,0.023009,0.052118,0.051731,0.046536,0.061166,0.033472,0.051347
